dbcellid,x,y,z,goog14r0seg1_baseid,google_aggloid,dbcelltype,dbsubcelltype,dbsubcelltype2,dbsubcelltype3,nrvoxels,circulardepth
34566,91146,253187,2432,42682871945,42682871945,OLIGO,0,0,0,56,2921
34795,163897,277517,2432,43427667744,52322188467,OLIGO,0,0,0,56,2863
42331,95059,201768,2432,49786900109,49801456656,OLIGO,0,0,0,56,2513
46665,69055,241916,2432,42289082392,42303639144,OLIGO,0,0,0,56,2791
48271,85031,216281,2432,41445305576,41445305576,BLOODVESSELCELL,0,0,0,56,2622
5177,174974,182284,2432,4895263796,40312793527,ASTROCYTE,0,0,0,312,2210
35572,389366,70464,2432,27626146246,36535134812,ASTROCYTE,0,0,0,312,417
48075,185470,124565,2432,30588440121,38289839305,PYRAMIDAL,16,0,0,1080,1757
6266,261167,200037,2432,4768365589,40621940323,PYRAMIDAL,0,0,0,2616,1868
3846,218317,145988,2432,3688373256,47942281519,OLIGO,0,0,0,57,1783
4883,164989,232266,2432,41855505735,50851924839,OLIGO,0,0,0,57,2594
5109,181353,133832,2432,38639021494,38682649411,OLIGO,0,0,0,57,1838
10692,221243,266216,2432,43051180575,51960155417,MG_OPC,0,0,0,57,2422
17902,158146,260473,2432,42917961329,51783351917,OLIGO,0,0,0,57,2805
23775,247838,250721,2432,33750008768,51436987514,OLIGO,0,0,0,57,2176
29961,106539,239075,2432,42188453114,42188453114,OLIGO,0,0,0,57,2811
30964,99716,225819,2432,41693258969,50602278303,OLIGO,0,0,0,57,2707
31010,118406,228267,2432,41897674163,50690233966,OLIGO,0,0,0,57,2712
31940,131224,268857,2432,43208273477,43208273487,OLIGO,0,0,0,57,2986
34154,92385,275629,2432,43439890294,52276107028,OLIGO,0,0,0,57,3100
34527,84458,249223,2432,42493116340,42551637867,OLIGO,0,0,0,57,2881
34846,160083,244288,2432,42306690588,51215694867,OLIGO,0,0,0,57,2695
41031,245950,88075,2432,37127263851,46007094244,OLIGO,0,0,0,57,1274
46729,154342,150925,2432,39264062186,39264062186,OLIGO,0,0,0,57,2041
8118,264544,149905,2432,12758997233,39151312555,ASTROCYTE,0,0,0,313,1578
331,244930,148804,2432,3048849421,48030500838,OLIGO,0,0,0,58,1675
5185,181704,173758,2432,48858158448,48858158499,OLIGO,0,0,0,58,2125
6930,176465,167771,2432,39759751616,39832523182,MG_OPC,0,0,0,58,2101
9217,253764,244998,2432,42469958883,51262505403,OLIGO,0,0,0,58,2113
9780,281471,224544,2432,41684760919,50564680059,OLIGO,0,0,0,58,1841
10988,220989,254869,2432,42687192572,42760007735,OLIGO,0,0,0,58,2381
12490,224061,235697,2432,42061379691,50941253964,OLIGO,0,0,0,58,2277
12854,230636,254826,2432,42614698756,42731215152,OLIGO,0,0,0,58,2314
13286,324223,174451,2432,40026759322,48848347356,OLIGO,0,0,0,58,1339
15850,305777,123434,2432,38308309729,47202784780,OLIGO,0,0,0,58,1196
28620,138830,264016,2432,43048421638,51884610226,OLIGO,0,0,0,58,2922
29278,128215,245970,2432,42422111744,42436625732,OLIGO,0,0,0,58,2829
31676,106926,242999,2432,42348582263,51184798987,OLIGO,0,0,0,58,2842
32626,77216,229950,2432,41867173823,41910873785,OLIGO,0,0,0,58,2718
35225,76916,235710,2432,42114659622,42114659800,OLIGO,0,0,0,58,2762
40362,110800,283084,2432,43658845662,43687974912,OLIGO,0,0,0,58,3154
46462,235543,265551,2432,43036989272,51931523143,OLIGO,0,0,0,58,2316
1404,178424,230773,2432,33136241240,41928832031,OLIGO,0,0,0,59,2519
3210,182854,144535,2432,39032095943,39032095943,OLIGO,0,0,0,59,1911
9502,230454,174759,2432,39979948515,40052690575,OLIGO,0,0,0,59,1908
10747,179743,277323,2432,43442765994,43486481317,OLIGO,0,0,0,59,2757
15865,315631,122369,2432,47144906903,47159448762,OLIGO,0,0,0,59,1133
19737,341658,217822,2432,41410233846,50362893485,OLIGO,0,0,0,59,1385
26531,357363,93172,2432,37320201320,37349287111,OLIGO,0,0,0,59,729
34102,88289,274988,2432,43454315965,52246847479,OLIGO,0,0,0,59,3089
34736,142814,272161,2432,43296040184,43339683056,OLIGO,0,0,0,59,2956
40353,103882,284636,2432,43731397677,52567631132,OLIGO,0,0,0,59,3176
43638,110184,248571,2432,42450511328,51359602431,OLIGO,0,0,0,59,2883
47884,68114,279716,2432,43584646686,52391747473,OLIGO,0,0,0,59,3057
13863,389902,237516,2432,33231309303,42154256859,INTERNEURON,0,0,1,315,1077
